Date,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,124653.702,194096.0019,107593.0199,152888.0352,169873.2047,112865.9896,117916.6786,197162.3301,135500.0804,178684.3585,179113.8233,128285.0418,164479.6298,155123.6905,198680.07,134566.3224,171078.5782,124665.1588,,126571.0193,104855.2662,152760.4611,99259.28857,113164.3275,129484.0297,115250.6878,111134.8825,153469.7303,,132390.2813,133746.2845,107183.2717,99912.13901,121063.5711,87091.52802,86571.64606,99611.34585,73629.15714,123516.6927,,162383.9022,86247.59089,97551.71397,89756.06949,149435.7518,,82609.04588,108186.9112,116181.0553,91422.97312,106518.9602
2000-02-01,124976.2599,194748.4165,107826.0764,153432.4668,170331.1233,112927.3239,117981.6243,197820.5895,135745.5108,179087.4059,179749.8065,128387.8504,165017.6071,155143.0815,198588.1484,135023.4653,171172.3093,124948.2518,,126997.062,105057.5225,152739.2736,99471.59668,113414.1488,129681.0229,115443.6721,111227.5922,153807.2265,,132992.381,133898.192,107539.8724,100086.122,121028.4348,87207.92169,86524.16745,99474.38255,73626.00541,123441.8149,,163002.5427,86292.1201,97666.0521,89773.68878,149668.2395,,82643.12232,107957.0498,116366.7755,91597.67813,106584.0529
2000-03-01,125318.247,195629.3359,108108.5873,153956.57,170768.0583,112957.072,118219.3949,198603.8144,136061.3844,179498.5502,180452.6338,128610.0756,165780.9414,155383.171,198893.0822,135569.1838,171319.4669,125274.8939,,127393.4456,105214.6927,152847.5091,99671.10926,113617.7152,129883.9219,115746.7472,111322.1459,154115.553,,133624.6847,134050.0201,107858.2713,100202.694,121163.8722,87339.98012,86522.10194,99320.55078,73649.80463,123489.2566,,163648.5061,86373.13917,97837.23483,89877.49167,149957.7077,,82801.96353,107635.3757,116538.904,91762.60698,106682.7695
2000-04-01,125964.4889,197541.5494,108682.8593,155083.7735,171736.1016,113104.7144,118693.0331,200146.4371,136706.3799,180328.3445,182024.1304,129132.8576,167417.6872,155933.3786,199422.0421,136388.3828,171688.6878,125962.6188,,128323.9073,105569.024,153108.6848,100077.6856,114084.3613,130324.0458,116342.2719,111549.6347,154762.5558,,134874.0136,134228.0789,108559.7224,100463.8502,121358.3732,87621.9462,86584.51552,98852.91881,73710.04184,123587.7562,,164742.8954,86574.47898,98228.52014,90032.66977,150619.7148,,83091.20505,107201.7935,116806.0996,92118.84879,106973.0505
2000-05-01,126588.3647,199764.2095,109302.1499,156250.0262,172722.9458,113200.33,119391.5113,201816.2502,137437.4915,181234.0127,183778.1931,129753.1547,169234.1722,156634.4902,200458.2296,137285.043,173026.7626,126721.152,,129344.6429,105944.4345,153655.2303,100495.3413,114520.0482,130814.3683,117028.0778,111812.0506,155339.5445,,136118.9136,134496.1326,109220.493,100755.1274,121746.4182,87900.05226,86888.2314,98626.96919,73827.56162,123908.9454,,165642.1933,86842.06516,98733.94735,90266.58687,151374.7634,,83479.70138,107021.4107,116941.5971,92512.44098,107415.6567
2000-06-01,127190.8271,202162.4534,109934.0257,157511.0679,173900.7342,113307.5383,120158.6502,203625.4617,138093.5914,182098.5923,185672.3013,130450.2895,171185.3243,157263.9154,201628.4425,138232.2772,174501.9114,127524.9419,,130524.8067,106353.3777,154316.0355,100924.5784,114999.965,131335.9512,117668.4222,112072.4868,155875.1074,,137067.4331,134696.5188,109962.3044,101107.2933,122201.8574,88167.05627,87322.76457,98693.70994,74022.78879,124301.493,,166532.9265,87136.22134,99292.47638,90530.43963,152207.7755,,83848.00424,106897.8106,117021.7807,92909.71218,107964.8389
2000-07-01,127922.1526,204695.1701,110568.9064,158644.7399,175233.5104,113377.9907,121053.6201,205766.4317,138760.7805,183037.8685,187591.5206,131206.4288,173037.6952,157751.751,202798.7053,139546.8407,175980.7185,128337.1501,,131822.9569,106753.1669,155098.1106,101380.4016,115465.6794,131845.285,118306.2701,112354.2026,156321.0266,,137934.3151,135114.661,110760.02,101433.3855,122804.9854,88425.13429,87724.06811,99178.71232,74279.33727,124689.6898,,167528.4552,87467.87453,99899.70153,90873.65358,153055.3308,,84229.38401,106811.6176,117114.652,93313.15634,108507.7354
2000-08-01,128784.5588,207339.4602,111215.4999,159637.0771,176853.0231,113586.4168,121957.0235,208401.1188,139401.6704,183905.7638,189674.9202,132282.7025,174631.0611,158221.7551,204152.8277,141086.8757,176589.8392,129195.7052,,133600.8633,107069.2787,155823.8769,101815.5343,115978.3566,132325.594,118965.7208,112644.9649,156797.3105,,138802.9574,135311.3292,111589.9073,101728.0751,123471.5822,88718.73746,88106.28017,99673.06469,74614.92182,125081.7556,,168732.8382,87847.27635,100554.4828,91246.35332,153880.0675,,84584.41088,106653.2487,117336.9116,93658.1602,109035.3943
2000-09-01,129727.0149,209989.8866,111885.6986,160518.864,178643.8747,113859.7367,122820.4918,211361.6791,140110.4904,184695.758,191861.9972,133548.4195,175827.9214,158787.4227,205491.3269,142741.3847,177122.4311,130073.197,,135438.8552,107429.2981,156565.6239,102258.8938,116507.6262,132794.3956,119694.7655,112992.3566,157197.8039,,139873.226,135490.7347,112453.5367,102044.1828,124139.3237,89050.81646,88446.76136,100059.3627,74915.41387,125409.9701,,170000.9399,88268.37927,101213.7601,91595.46016,154641.3781,,84907.13655,106873.8794,117608.4025,94018.03825,109553.8547
2000-10-01,130618.7314,212503.3509,112569.8668,161464.0236,180454.7546,114152.6043,123626.9355,214489.0749,140793.4518,185383.6563,194034.3105,135009.2875,176132.8491,159423.3783,206892.5184,144645.0332,177572.2905,130985.2043,,137319.8748,107855.6357,157348.3845,102684.0917,117028.5808,133290.0219,120572.1038,113328.7987,157600.0976,,140945.9864,135433.2164,113270.0328,102406.9013,124793.1403,89384.4245,88919.16296,100532.291,75261.99008,125726.8928,,171388.6783,88661.78362,101914.6094,91952.37705,155321.2296,,85195.55524,107121.1703,117893.4754,94461.57842,110054.6954
2000-11-01,131520.041,214978.6365,113280.8306,162621.9091,182070.2622,114490.5556,124461.1495,217510.6618,141451.154,186079.6561,196124.7907,136124.2024,176433.656,160159.8478,207802.71,146471.8909,178129.9733,131888.8978,,138885.1893,108418.0254,158158.6117,103153.1681,117547.5356,133848.1197,121464.0452,113697.0896,158005.6677,,141973.8812,135572.8272,114251.3589,102817.4879,125400.7458,89819.4051,89420.71883,101100.4905,75715.11237,125979.3934,,172790.4491,89077.98845,102675.4219,92339.54909,156156.5894,,85527.82408,107161.548,118221.5569,94906.79267,110543.5393
2000-12-01,132441.6605,217401.1868,114014.1291,163892.9015,183506.2432,114865.9384,125328.7755,220497.4179,142090.0372,186905.8041,198122.1151,137009.1987,176798.4201,160872.4064,208599.878,148323.2126,178664.5639,132845.3589,,140523.6941,109030.3412,159040.9119,103638.3592,117990.656,134440.3772,122356.1056,114112.2554,158464.3095,,143075.2084,135911.1226,115326.1433,103272.1204,125996.8903,90311.53643,90059.90682,101769.4535,76304.98463,126225.0585,,174054.7654,89511.32636,103393.7432,92779.83222,156937.3895,,85924.61435,107059.3283,118558.6854,95400.82977,111009.4385
