DATE,USA,California,Colorado,the District of Columbia,Florida,Georgia,Hawaii,Maryland,Massachusetts,New York,Virginia,Washington
2000-01-01,67470,75230,77520,66240,62440,67330,82830,87630,75130,65470,75780,68330
2001-01-01,66360,74270,77620,64690,57230,66910,74550,84120,82110,66180,78950,66770
2002-01-01,65820,73630,74960,60640,59020,66650,73420,87550,77380,65140,77030,70130
2003-01-01,65860,74960,75930,68490,59250,64520,78810,79540,77470,65060,83290,72230
2004-01-01,65760,73010,75480,64450,60120,60790,83420,84700,77160,66230,75860,74050
2005-01-01,66780,74610,72720,64860,61970,66200,85890,87230,80750,68010,74840,73010
2006-01-01,67520,77490,78020,67910,63990,69120,84710,89190,77510,67550,80020,76660
2007-01-01,68610,76120,83510,69360,62550,66440,87440,89640,79850,66850,80800,79330
2008-01-01,66280,75120,80290,73240,59100,60910,81060,83940,79470,66480,81670,74610
2009-01-01,65850,74260,73990,70300,60360,57330,73620,84910,78540,66430,80030,79890
2010-01-01,64300,70840,78600,74290,57500,57570,77700,83780,79520,64960,78780,73290
2011-01-01,63350,67540,74200,69930,57090,58190,74730,87170,80130,64090,79250,71950
2012-01-01,63350,70800,71090,81010,57210,59750,69860,89200,79040,59200,80250,77220
2013-01-01,65740,74580,83310,73680,59540,57650,78800,85080,76710,61300,80850,78420
2014-01-01,64900,73170,73710,82590,55810,59940,86150,92130,76390,65690,80020,71450
2015-01-01,68410,77030,80610,84820,59100,61450,78090,89090,82150,70210,74430,81400
2016-01-01,70840,79960,84670,85170,61400,64230,86550,88500,86710,73720,79730,84360
2017-01-01,72090,82580,88420,95840,62600,68370,86780,96800,89900,72570,83500,84360
2018-01-01,73030,81480,84420,99110,63160,64520,92590,99660,99800,77760,89180,92150
2019-01-01,78250,88960,82580,106100,66480,64500,100200,108900,99900,81840,92610,93910
2020-01-01,76660,87530,94440,99440,65110,66810,91110,106900,98980,77400,92670,91710
2021-01-01,76330,87960,91610,97740,64410,66310,88630,105000,93340,78630,86550,94510
2022-01-01,74580,85300,89930,101700,65370,67730,91010,108200,93550,75910,85170,89430
